                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.3867,                 0.8049,                 1.0522,                0.90258,                0.68632,                0.80455,                0.42142,                 1.5129,                0.74626,                 1.1473,              0.0007756,              0.0007756,              0.0007756
                     36,                  1.378,                0.78596,                 1.0453,                0.83193,                0.76338,                0.80549,                0.42184,                 1.5031,                 0.7419,                 1.1422,               0.000769,               0.000769,               0.000769
                     37,                 1.3743,                0.78848,                 1.0424,                0.83001,                0.77908,                0.81678,                0.43278,                 1.4827,                0.72139,                 1.1565,              0.0007624,              0.0007624,              0.0007624
                     38,                 1.3515,                0.78738,                 1.0395,                0.91034,                0.74188,                 0.8148,                0.43811,                 1.4736,                0.71677,                 1.1424,              0.0007558,              0.0007558,              0.0007558
                     39,                 1.3466,                0.77243,                  1.034,                0.84231,                 0.7461,                 0.8161,                0.42992,                 1.4795,                 0.7228,                 1.1441,              0.0007492,              0.0007492,              0.0007492
                     40,                  1.353,                0.78288,                 1.0353,                0.86788,                0.74474,                0.82014,                0.44546,                 1.4461,                  0.704,                 1.1284,              0.0007426,              0.0007426,              0.0007426
                     41,                 1.3369,                 0.7636,                 1.0278,                0.88157,                0.75802,                0.80766,                0.44065,                 1.4522,                 0.6967,                 1.1239,               0.000736,               0.000736,               0.000736
                     42,                 1.3242,                0.75931,                 1.0286,                0.84471,                0.76764,                0.81693,                0.43461,                 1.4824,                0.70285,                 1.1454,              0.0007294,              0.0007294,              0.0007294
                     43,                 1.3133,                0.73991,                 1.0213,                0.83797,                0.75183,                0.80241,                0.45176,                 1.4071,                0.69384,                 1.1188,              0.0007228,              0.0007228,              0.0007228
                     44,                 1.3051,                0.74762,                 1.0172,                0.84877,                0.75557,                0.83249,                0.45157,                 1.4176,                0.70594,                 1.1192,              0.0007162,              0.0007162,              0.0007162
                     45,                 1.2967,                0.73593,                 1.0147,                0.88546,                0.78703,                0.83674,                0.45903,                 1.4017,                0.68971,                 1.1119,              0.0007096,              0.0007096,              0.0007096
                     46,                 1.2831,                0.72421,                 1.0105,                0.85665,                0.75042,                0.81202,                0.45044,                 1.4062,                0.67513,                 1.1043,               0.000703,               0.000703,               0.000703
                     47,                 1.2867,                0.72508,                  1.008,                0.83816,                0.78002,                0.81818,                0.45592,                 1.3982,                0.67096,                 1.1089,              0.0006964,              0.0006964,              0.0006964
                     48,                 1.2782,                0.72278,                 1.0038,                0.87709,                0.79064,                0.82862,                0.44755,                 1.4476,                0.69381,                 1.1305,              0.0006898,              0.0006898,              0.0006898
                     49,                 1.2714,                0.71402,                  1.009,                0.82348,                0.78243,                0.83107,                0.46131,                 1.4075,                0.69804,                 1.1134,              0.0006832,              0.0006832,              0.0006832
                     50,                 1.2647,                0.71075,                 1.0018,                0.89586,                0.72375,                0.80324,                0.44876,                 1.4215,                0.67734,                 1.1261,              0.0006766,              0.0006766,              0.0006766
                     51,                 1.2461,                0.71223,                0.99976,                0.87726,                0.75581,                0.82793,                0.46241,                 1.3769,                0.66855,                 1.1046,                0.00067,                0.00067,                0.00067
                     52,                 1.2443,                0.70027,                0.99587,                0.91136,                0.77065,                0.84763,                0.46458,                 1.3783,                0.64878,                 1.1068,              0.0006634,              0.0006634,              0.0006634
                     53,                 1.2498,                0.70079,                0.99759,                0.89925,                0.77812,                 0.8331,                0.46179,                 1.3816,                0.65275,                 1.1094,              0.0006568,              0.0006568,              0.0006568
                     54,                 1.2354,                0.69209,                0.99471,                0.84048,                0.76848,                0.81045,                0.45316,                 1.3467,                0.67557,                  1.092,              0.0006502,              0.0006502,              0.0006502
                     55,                 1.2357,                0.69373,                0.99274,                0.83978,                0.70692,                0.78209,                0.45329,                 1.3579,                0.66959,                 1.1112,              0.0006436,              0.0006436,              0.0006436
