                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.0663,                 2.5117,                 1.3517,                0.73347,                0.49889,                0.52407,                0.20575,                 1.9431,                 1.3396,                 1.3741,              0.0003324,              0.0003324,              0.0003324
                      2,                 1.9399,                 1.4725,                 1.3129,                0.74554,                0.51116,                0.53796,                0.20841,                 1.9188,                 1.3648,                 1.3562,             0.00066207,             0.00066207,             0.00066207
                      3,                 1.9014,                 1.3865,                 1.3006,                0.67702,                0.54484,                0.59655,                0.25307,                 1.8711,                 1.2793,                 1.3362,             0.00098808,             0.00098808,             0.00098808
                      4,                 1.8432,                 1.2836,                 1.2752,                0.65321,                0.63688,                0.61002,                0.25536,                 1.8554,                 1.1823,                 1.3257,              0.0009835,              0.0009835,              0.0009835
                      5,                 1.7953,                 1.1997,                 1.2447,                0.70005,                0.61194,                0.65925,                0.29609,                  1.767,                 1.0696,                 1.2892,               0.000978,               0.000978,               0.000978
                      6,                 1.7823,                 1.1788,                 1.2371,                0.73203,                0.59918,                0.62979,                 0.2732,                 1.7992,                 1.0999,                 1.2807,              0.0009725,              0.0009725,              0.0009725
                      7,                 1.7291,                 1.1091,                 1.2099,                0.72451,                0.67138,                 0.6974,                0.31071,                 1.7724,                 1.0307,                 1.3015,               0.000967,               0.000967,               0.000967
                      8,                 1.6986,                 1.0749,                 1.1976,                0.71499,                0.72775,                0.71385,                0.31723,                  1.759,                0.99039,                 1.2749,              0.0009615,              0.0009615,              0.0009615
                      9,                 1.6558,                 1.0527,                 1.1781,                 0.7295,                0.71623,                0.71968,                0.33032,                 1.7137,                0.98248,                 1.2414,               0.000956,               0.000956,               0.000956
                     10,                 1.6459,                 1.0013,                 1.1647,                0.78508,                0.73015,                0.75846,                0.36117,                 1.6903,                0.90489,                 1.2424,              0.0009505,              0.0009505,              0.0009505
                     11,                 1.6001,                0.97035,                 1.1485,                0.83738,                0.71892,                0.77425,                0.36289,                 1.6619,                0.92429,                 1.2252,               0.000945,               0.000945,               0.000945
                     12,                 1.5756,                0.93729,                   1.14,                0.86675,                 0.7438,                0.78589,                0.37679,                 1.6495,                0.86384,                  1.214,              0.0009395,              0.0009395,              0.0009395
                     13,                 1.5539,                0.92955,                 1.1302,                0.90573,                0.70979,                0.79563,                 0.3754,                  1.621,                0.86308,                  1.208,               0.000934,               0.000934,               0.000934
                     14,                 1.5318,                0.90263,                 1.1187,                0.87627,                0.74747,                0.79964,                0.38316,                 1.6214,                0.83566,                 1.2087,              0.0009285,              0.0009285,              0.0009285
                     15,                 1.4864,                0.86193,                 1.1012,                0.78044,                0.77959,                0.79986,                0.39088,                 1.5802,                0.82841,                 1.1871,               0.000923,               0.000923,               0.000923
                     16,                 1.4814,                0.86569,                 1.0968,                0.87468,                0.75559,                 0.8204,                0.40504,                 1.6021,                0.83331,                 1.2026,              0.0009175,              0.0009175,              0.0009175
                     17,                 1.4642,                0.85236,                 1.0933,                0.84847,                0.77099,                0.82905,                0.40588,                  1.567,                0.79587,                  1.175,               0.000912,               0.000912,               0.000912
                     18,                 1.4444,                0.83172,                  1.083,                0.81132,                0.76992,                0.81082,                0.40434,                 1.6241,                 0.8111,                 1.1994,              0.0009065,              0.0009065,              0.0009065
                     19,                  1.418,                0.81898,                 1.0721,                0.86574,                0.80336,                0.85288,                0.42529,                 1.5439,                0.78535,                 1.1713,               0.000901,               0.000901,               0.000901
                     20,                 1.4053,                0.80219,                 1.0629,                0.83296,                0.80083,                0.84254,                0.40999,                 1.5747,                0.77699,                 1.1888,              0.0008955,              0.0008955,              0.0008955
                     21,                 1.3849,                 0.7898,                 1.0607,                 0.8416,                0.79537,                0.83171,                0.42456,                 1.5581,                0.77392,                 1.1815,                0.00089,                0.00089,                0.00089
                     22,                 1.3653,                0.77415,                 1.0564,                0.84031,                0.77448,                 0.8226,                0.41666,                 1.5132,                0.72957,                 1.1522,              0.0008845,              0.0008845,              0.0008845
                     23,                  1.338,                0.75788,                  1.044,                0.87083,                0.80025,                0.85153,                0.44472,                 1.5024,                0.73731,                 1.1657,               0.000879,               0.000879,               0.000879
                     24,                 1.3239,                0.75439,                 1.0377,                 0.8126,                0.76659,                0.80462,                0.41273,                 1.5291,                0.75777,                 1.1603,              0.0008735,              0.0008735,              0.0008735
                     25,                 1.3135,                0.73538,                 1.0273,                0.86437,                0.81941,                0.86881,                0.43077,                 1.5038,                0.70932,                 1.1528,               0.000868,               0.000868,               0.000868
                     26,                 1.2962,                0.72952,                 1.0262,                0.86217,                0.82353,                0.86168,                0.45414,                 1.4727,                0.70058,                 1.1524,              0.0008625,              0.0008625,              0.0008625
                     27,                 1.2882,                0.71597,                 1.0167,                0.85582,                0.80719,                0.84948,                0.43592,                 1.4922,                0.71365,                 1.1605,               0.000857,               0.000857,               0.000857
                     28,                 1.2722,                0.72109,                 1.0135,                0.85956,                0.83799,                0.87393,                0.46103,                 1.4534,                 0.6894,                 1.1283,              0.0008515,              0.0008515,              0.0008515
                     29,                 1.2523,                0.69799,                 1.0097,                0.88554,                0.81013,                0.85789,                0.47016,                 1.4101,                0.66426,                 1.1175,               0.000846,               0.000846,               0.000846
                     30,                 1.2352,                0.69536,                 1.0021,                0.87333,                0.83128,                0.86069,                0.47615,                 1.3866,                 0.6702,                 1.1053,              0.0008405,              0.0008405,              0.0008405
                     31,                 1.2327,                0.69203,                 1.0064,                 0.9263,                0.79538,                0.86512,                0.46611,                 1.3767,                0.67639,                 1.1109,               0.000835,               0.000835,               0.000835
                     32,                 1.2133,                0.67009,                0.99686,                0.90569,                0.85145,                0.87463,                0.46474,                 1.4004,                0.66862,                  1.115,              0.0008295,              0.0008295,              0.0008295
                     33,                 1.2026,                 0.6672,                0.98919,                0.88896,                0.80199,                0.86944,                0.47133,                 1.3874,                0.66335,                 1.1049,               0.000824,               0.000824,               0.000824
                     34,                 1.1756,                0.65068,                 0.9766,                0.90626,                0.85169,                0.88676,                0.47919,                 1.3835,                0.64908,                 1.1073,              0.0008185,              0.0008185,              0.0008185
                     35,                 1.1714,                0.65142,                0.98342,                0.91323,                0.86044,                0.89014,                 0.4996,                 1.3397,                0.63213,                 1.0996,               0.000813,               0.000813,               0.000813
                     36,                 1.1661,                0.64032,                0.97909,                0.91382,                 0.8325,                0.88389,                0.51467,                  1.331,                 0.6294,                 1.0841,              0.0008075,              0.0008075,              0.0008075
