                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.0991,                0.60282,                0.95888,                0.92583,                0.83337,                0.89766,                0.51472,                 1.3225,                0.63125,                  1.095,              0.0006634,              0.0006634,              0.0006634
                     36,                 1.1022,                0.60907,                0.95588,                0.91242,                0.83827,                0.89072,                0.52907,                 1.2625,                 0.6075,                 1.0637,              0.0006535,              0.0006535,              0.0006535
                     37,                 1.0801,                0.59408,                0.94587,                0.91134,                0.85287,                0.89789,                0.53611,                 1.2707,                0.58786,                 1.0616,              0.0006436,              0.0006436,              0.0006436
                     38,                 1.0683,                0.58788,                0.94923,                0.90666,                0.85068,                0.89687,                0.52379,                 1.2688,                0.60492,                 1.0745,              0.0006337,              0.0006337,              0.0006337
                     39,                 1.0618,                0.58086,                0.94573,                0.90416,                0.86823,                0.90501,                0.52838,                 1.2571,                0.57995,                 1.0621,              0.0006238,              0.0006238,              0.0006238
                     40,                 1.0496,                0.58616,                0.94363,                0.92643,                0.83899,                0.88824,                0.50882,                 1.2627,                0.59099,                  1.067,              0.0006139,              0.0006139,              0.0006139
                     41,                 1.0427,                  0.574,                0.94138,                0.92048,                0.85072,                0.90758,                0.54187,                  1.216,                0.56774,                 1.0498,               0.000604,               0.000604,               0.000604
                     42,                 1.0214,                0.55851,                0.93339,                0.89174,                0.84034,                 0.8964,                 0.5439,                 1.2259,                0.57607,                 1.0552,              0.0005941,              0.0005941,              0.0005941
                     43,                 1.0186,                0.55921,                0.93276,                 0.9332,                0.85265,                0.90817,                0.54467,                 1.2055,                0.56677,                 1.0476,              0.0005842,              0.0005842,              0.0005842
                     44,                 0.9964,                0.54714,                0.92503,                 0.9486,                0.83013,                0.90758,                0.54758,                 1.2215,                0.55961,                 1.0543,              0.0005743,              0.0005743,              0.0005743
                     45,                0.98807,                0.54908,                0.91971,                0.91675,                0.86213,                0.90222,                0.56417,                  1.163,                0.54691,                 1.0397,              0.0005644,              0.0005644,              0.0005644
                     46,                0.99058,                0.54386,                0.92257,                0.90634,                 0.8612,                0.89945,                 0.5594,                  1.186,                0.56405,                 1.0371,              0.0005545,              0.0005545,              0.0005545
                     47,                0.96487,                0.52977,                0.91277,                0.92662,                0.87279,                 0.9092,                0.56785,                 1.1597,                 0.5464,                 1.0271,              0.0005446,              0.0005446,              0.0005446
                     48,                0.96249,                 0.5293,                0.91591,                0.92413,                0.85736,                0.91031,                0.56049,                  1.157,                  0.546,                 1.0296,              0.0005347,              0.0005347,              0.0005347
                     49,                 0.9561,                0.52725,                 0.9115,                0.92547,                0.87536,                0.91675,                0.57184,                 1.1575,                 0.5372,                 1.0201,              0.0005248,              0.0005248,              0.0005248
                     50,                 0.9463,                0.52255,                0.90945,                0.94988,                0.84712,                0.91846,                0.56654,                 1.1312,                0.53936,                 1.0361,              0.0005149,              0.0005149,              0.0005149
                     51,                0.92372,                0.51492,                0.90345,                0.91713,                0.85839,                0.90624,                 0.5788,                 1.1137,                0.51841,                 1.0234,               0.000505,               0.000505,               0.000505
                     52,                0.92237,                0.50156,                 0.9024,                 0.9433,                0.87304,                0.91663,                0.58317,                 1.1083,                0.52069,                 1.0197,              0.0004951,              0.0004951,              0.0004951
                     53,                   0.92,                 0.5117,                0.90314,                0.93525,                0.87497,                0.91073,                0.57192,                 1.1304,                0.54554,                  1.025,              0.0004852,              0.0004852,              0.0004852
                     54,                0.91595,                0.50398,                0.90406,                0.94047,                0.86446,                0.91191,                 0.5875,                 1.1019,                0.53122,                 1.0116,              0.0004753,              0.0004753,              0.0004753
                     55,                0.89992,                0.49818,                0.89374,                0.90614,                0.86213,                0.91264,                0.56347,                 1.1314,                0.52622,                 1.0205,              0.0004654,              0.0004654,              0.0004654
                     56,                0.89584,                0.49501,                0.89664,                0.92571,                0.88595,                0.91298,                0.56405,                 1.1451,                0.53297,                 1.0282,              0.0004555,              0.0004555,              0.0004555
                     57,                0.88854,                0.49225,                0.89427,                0.92301,                0.86862,                0.91481,                0.59161,                 1.0611,                0.51033,                  1.005,              0.0004456,              0.0004456,              0.0004456
                     58,                0.87796,                0.48011,                0.89144,                0.94008,                0.87073,                0.91405,                0.59283,                 1.0733,                0.50712,                 1.0067,              0.0004357,              0.0004357,              0.0004357
                     59,                0.87149,                  0.478,                0.89142,                0.93203,                 0.8827,                0.91549,                0.59293,                 1.0715,                0.50413,                 1.0054,              0.0004258,              0.0004258,              0.0004258
                     60,                0.85117,                0.46833,                0.88259,                0.94994,                0.86689,                0.91652,                0.59688,                 1.0575,                0.50308,                 1.0062,              0.0004159,              0.0004159,              0.0004159
