                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     37,                0.65654,                 0.3729,                0.84203,                0.95927,                0.89015,                 0.9344,                0.67106,                 0.8608,                0.41772,                0.94846,              0.0002872,              0.0002872,              0.0002872
                     38,                0.65003,                0.37257,                0.84138,                0.97009,                0.87985,                 0.9332,                0.67812,                0.84415,                0.42005,                0.94203,              0.0002674,              0.0002674,              0.0002674
                     39,                0.64871,                0.37212,                0.83954,                0.96132,                0.88559,                0.93196,                 0.6752,                0.84243,                 0.4081,                 0.9456,              0.0002476,              0.0002476,              0.0002476
                     40,                0.64566,                0.36754,                0.83905,                0.96896,                0.88456,                0.93087,                0.68344,                0.81018,                0.40177,                0.93561,              0.0002278,              0.0002278,              0.0002278
                     41,                0.59506,                0.33204,                0.82437,                0.96152,                0.89278,                 0.9342,                0.66399,                0.85519,                0.41695,                0.95075,               0.000208,               0.000208,               0.000208
                     42,                0.57651,                0.32423,                0.82341,                 0.9677,                0.88336,                0.93384,                0.67846,                0.83796,                0.40245,                0.94678,              0.0001882,              0.0001882,              0.0001882
                     43,                0.56992,                0.32007,                0.82142,                0.96099,                0.89367,                0.93133,                0.68601,                0.82278,                0.40557,                0.93838,              0.0001684,              0.0001684,              0.0001684
                     44,                0.55625,                0.31262,                0.81786,                0.96872,                0.89229,                0.93309,                0.67812,                0.83092,                0.40064,                0.94157,              0.0001486,              0.0001486,              0.0001486
                     45,                0.54718,                0.31067,                0.81796,                0.96382,                0.88423,                0.93067,                0.69132,                0.81143,                0.39519,                0.93729,              0.0001288,              0.0001288,              0.0001288
                     46,                0.54149,                0.30665,                0.81396,                0.97111,                0.89385,                0.93367,                0.68562,                0.81356,                0.39681,                 0.9389,               0.000109,               0.000109,               0.000109
                     47,                0.53388,                0.30388,                 0.8163,                0.95958,                0.88802,                0.93202,                0.68856,                0.81731,                0.39505,                0.93544,               8.92e-05,               8.92e-05,               8.92e-05
                     48,                0.52228,                0.29923,                0.81034,                0.95386,                0.89332,                0.93192,                0.69414,                0.79437,                 0.3942,                0.93164,               6.94e-05,               6.94e-05,               6.94e-05
                     49,                0.51849,                0.29681,                0.81277,                0.97067,                0.87342,                0.92832,                 0.6978,                0.79471,                0.39022,                0.93338,               4.96e-05,               4.96e-05,               4.96e-05
                     50,                0.51052,                 0.2927,                0.80916,                0.97144,                0.87831,                0.93082,                0.69671,                0.78777,                0.38035,                 0.9312,               2.98e-05,               2.98e-05,               2.98e-05
